hit_id,particle_id,tx,ty,tz,tpx,tpy,tpz,weight
16890,211680177619472385,21.2263,24.1739,-485.49800000000005,0.18077200000000002,0.0626899,-0.0713466,0.0
16967,225182798867070976,-19.5127,-26.046,-299.914,-0.45118199999999997,-0.5848,-6.68526,0.0
17004,923238061066686465,29.0131,-13.3554,-331.028,0.0779917,-0.0636919,-0.08051219999999999,0.0
17036,103588632585043968,28.9102,14.0716,-295.186,0.461609,0.233998,-4.72251,0.0
17050,297239774429708288,21.8071,23.5237,-303.522,0.471336,0.49493000000000004,-6.59708,0.0
17061,117106303414829056,20.5875,25.5281,-301.068,0.240064,0.28015500000000004,-3.39989,0.0
17090,153135581470130176,9.39912,31.455,-310.374,0.0639279,0.17918699999999999,-1.80782,0.0
17110,211680246322167808,-14.9256,29.487,-295.945,-0.392751,0.798922,-8.06201,0.0
17128,355784645440176128,-31.7395,4.3563,-314.79,-0.8177810000000001,0.10251800000000001,-8.0611,0.0
17129,878209830077071360,-31.8286,2.7765,-295.369,-3.02407,0.253785,-28.1783,0.0
17154,216188450154479616,-31.7738,-4.38131,-221.372,-0.816675,-0.12223099999999999,-5.837999999999999,0.0
17164,117094689823260672,-28.6462,-13.3264,-252.255,-0.459797,-0.203321,-4.01505,0.0
17196,873705749413363712,-30.9872,-12.5028,-221.083,-0.373794,-0.161109,-2.72051,0.0
17211,337781173327495168,-14.7904,-27.772,-231.889,-0.126751,-0.21985300000000002,-1.9352200000000002,0.0
17226,391818390278246401,-12.5631,-28.8453,-258.783,0.204123,0.09848,-0.137705,0.0
17278,526922668230836224,14.1225,-28.3679,-239.703,0.20235999999999998,-0.429226,-3.58075,0.0
17319,558451232876789760,28.8687,-12.5145,-250.59799999999998,0.28692399999999996,-0.135322,-2.6278900000000003,0.0
17347,301745366921904128,31.0201,-8.31812,-229.676,0.187625,-0.060148099999999996,-1.3513,0.0
17357,63059259595685888,31.2677,-3.92875,-262.57599999999996,0.271354,-0.025389500000000002,-2.27161,0.0
17382,90083262541594624,31.9724,3.81315,-243.64700000000002,0.250384,0.020341099999999997,-2.00212,0.0
17412,9008230046892032,26.493000000000002,17.5343,-247.42700000000002,1.9450599999999998,1.27342,-17.8465,0.0
17434,211685812599783424,18.558,25.9565,-263.694,0.47088,0.641729,-6.66467,0.0
17472,450360649931816960,-6.28227,31.1091,-234.15599999999998,-0.0281019,0.188227,-1.40866,0.0
17498,779123560168816640,-15.6427,28.1826,-269.624,-0.208132,0.355035,-3.405,0.0
17609,743112630213804032,-29.2376,-13.1351,-141.567,-0.144519,-0.0746693,-0.706994,0.0
17610,4515350657892352,-29.5142,-12.3439,-151.261,-0.576635,-0.252529,-2.97825,0.0
17622,734096978463424512,-26.6927,-18.0539,-189.32,-1.3699700000000001,-0.915284,-9.54394,0.0
17690,707065622533505024,-14.455,-28.4833,-152.455,-0.156969,-0.330365,-1.7126700000000001,0.0
17763,562952083725090816,3.20003,-32.7113,-182.3,0.027726900000000002,-0.1762,-1.00454,0.0
17793,887210363542568960,23.1648,-22.1277,-199.125,0.537607,-0.499638,-4.51541,0.0
17853,409828184566005760,28.6131,-14.1854,-146.18200000000002,1.14735,-0.581435,-5.6813,0.0
17905,337782753875460096,29.7262,11.7378,-184.485,0.269673,0.116461,-1.77655,0.0
17910,801646368669040640,31.3596,7.06606,-201.11,0.696116,0.16716,-4.50496,0.0
17999,662037528999624704,0.344605,31.9658,-170.132,-0.00700867,0.297164,-1.48479,0.0
18029,225190289290035200,-11.7565,29.7196,-167.015,-0.0922675,0.20856100000000002,-1.15024,0.0
18053,180145015886970880,-2.52943,32.9457,-172.3,-0.273253,3.71297,-20.6457,0.0
18057,306254257948983296,-21.7746,23.3694,-174.17,-0.374474,0.415721,-3.2143599999999997,0.0
18107,139617841920868352,-26.7216,18.1107,-148.783,-0.20927600000000002,0.153604,-1.26378,0.0
18132,63059878087761922,-31.55,7.715319999999999,-171.293,-0.233188,0.256485,0.171074,0.0
18175,139617360884531200,-31.7067,-4.57322,-101.31,-0.53292,-0.0859,-1.85327,0.0
18189,333268296570765312,-31.3248,-5.66536,-122.16799999999999,-0.45840299999999995,-0.0928038,-1.7900599999999998,0.0
18202,409833269807284224,-32.0788,-3.50881,-116.14,-0.245171,-0.0356577,-0.8529370000000001,0.0
18203,689053216888848384,-33.3038,-0.00525782,-111.006,-0.571214,-0.0102709,-1.9315799999999999,0.0
18212,743105758266130432,-29.9803,-9.51067,-82.2494,-0.35262899999999997,-0.1009,-0.9386129999999999,0.0
18267,747605578322280448,-21.4269,-23.2062,-87.1033,-0.28396,-0.32153000000000004,-1.1884299999999999,0.0
18324,671056341845934080,-19.919,-25.3006,-124.475,-0.140249,-0.161986,-0.8097770000000001,0.0
18327,639517537997946880,-15.9087,-27.2331,-70.0831,-0.27105799999999997,-0.445801,-1.2383600000000001,0.0
18336,229695675623800832,-16.0103,-27.1842,-82.2687,-0.0748697,-0.112945,-0.28010999999999997,0.0
18353,27029637943001088,-21.2474,-24.6605,-100.24,-0.157646,-0.16739600000000002,-0.695188,0.0
18379,837678120625504256,-3.03875,-31.3179,-86.9212,-0.0389689,-0.301728,-0.7321810000000001,0.0
18425,220681673140862976,-6.110519999999999,-31.1446,-93.9501,-0.0924555,-0.426256,-1.23538,0.0
18469,783627846990954496,2.69995,-32.3616,-127.97,0.0482105,-0.695631,-2.8087,0.0
18482,4508135112835072,5.355659999999999,-31.4331,-91.2399,0.185148,-1.0280799999999999,-2.98628,0.0035669622278486444
18494,27051078419742720,-1.67097,-33.8898,-69.2693,-0.138106,-0.18066,-0.382754,0.0
18501,671037718867738624,8.20395,-30.4372,-88.0468,0.326968,-1.17699,-3.3226199999999997,0.008321648555603672
18516,27043313118871552,16.1395,-27.7389,-91.8701,0.09307610000000001,-0.164919,-0.46327299999999993,0.0
18552,711571558623084544,17.1816,-26.8081,-110.084,0.529721,-0.8443350000000001,-3.3637099999999998,0.0
18559,274725212266692608,18.9648,-25.2153,-87.6573,0.215417,-0.27033,-0.977475,0.0
18584,707076067893968896,23.6135,-23.4201,-70.4465,0.37451100000000004,-0.35691799999999996,-1.04683,0.0
18594,671037787587215360,26.8791,-16.6434,-131.08,0.41275100000000003,-0.26715900000000004,-2.00437,0.0
18605,211671450245926913,26.4402,-17.5541,-82.3098,0.0761125,-0.130853,-0.175663,0.0
18607,364798922801020928,27.1707,-16.0382,-90.0913,1.4052200000000001,-0.8417100000000001,-4.08122,0.0
18636,211671037912285184,31.5777,1.56621,-91.3461,1.24268,0.0708929,-3.72135,0.004175368742246837
18649,45041081514983424,31.3008,-3.3429900000000004,-135.17700000000002,0.197026,-0.0123976,-0.825235,0.0
18651,301741587350683648,31.5883,1.7537200000000002,-79.0529,1.9003900000000002,0.0948843,-4.17465,0.006630356212933118
18665,364795555546660864,31.0141,-8.42412,-70.2911,2.0531,-0.5484319999999999,-3.88785,0.008007593125929423
18666,797144143431204864,31.3452,-2.55589,-115.958,0.5805279999999999,-0.0389313,-2.1154,0.0
18696,292749987433943041,28.7842,12.9319,-83.1209,0.2152,0.189681,0.301859,0.0
18714,355788631169826816,30.5334,7.928789999999999,-85.7396,0.366844,0.105111,-1.01434,0.0
18729,450360787370770432,33.4677,-0.463629,-73.238,0.49499899999999997,-0.016218299999999998,-1.08689,0.0
18758,355793853850058752,21.1415,23.5256,-85.255,0.22342800000000002,0.235328,-0.8536440000000001,0.0
18759,139615299300229120,23.1067,21.3254,-78.9758,0.9595030000000001,0.8963559999999999,-3.64764,0.004385274978128792
18770,4549985274167296,22.5099,21.9936,-72.9818,0.662323,0.664546,-2.17112,0.0
18803,117103073599422464,26.1791,17.8857,-70.1891,0.35885700000000004,0.23289,-0.9487059999999999,0.0
18828,117109945547096064,13.9454,28.1792,-111.885,0.09942310000000001,0.17890799999999998,-0.7318180000000001,0.0
18831,103589044901904384,21.3088,24.6309,-72.9152,0.414239,0.49377600000000005,-1.40604,0.0
18858,292746688882278400,20.8753,24.8398,-75.6497,0.511672,0.593863,-2.1021799999999997,0.0
18871,873699358502027264,15.8578,27.2576,-82.1407,0.7669600000000001,1.29574,-4.0220400000000005,0.00497292712419881
18876,180145084606447616,20.282,25.1257,-122.975,1.34517,1.6835799999999999,-8.93951,0.0
18882,743095244186189824,14.1154,28.0973,-73.0854,0.09472989999999999,0.16657,-0.43528500000000003,0.0
18939,526921568719208448,7.7367300000000006,31.0529,-135.834,0.404973,1.66357,-7.24083,0.0
18957,139614268508078080,-11.7897,29.1835,-85.6946,-0.11898900000000001,0.320741,-1.02506,0.0
18960,22528993253130240,-4.92267,31.5845,-109.993,-0.0597577,0.322434,-1.13868,0.0
